net_base_asset_amount,total_base_asset_amount,open_interest,total_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_mark_price_twap_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,base_spread,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value,oracle_price,mark_price
-526611002705.21484,2728827503572.0977,1,44287.033540216646,1000,625,500,11053220525418.822,9047136965197.83,3600,10000000000000,10539,0.18123386036202524,30,10.533599163341975,30,10.534034124606844,30,-11.17403885007843,-11.17403885007843,0,-1350438344853.8652,1327055.3852889373,-11.355272710440456,0,999366207.1390507,-1.0000000002328306,999366206.1390507,2.447451544187707e-06,999233500.5005218,753.0698900344469,1327056.3852889375,8.626243931072732,8.626243931074294
-526611002705.21484,2728827503572.0977,1,44287.033540216646,1000,625,500,11053220525418.822,9047136965197.83,3600,10000000000000,10539,0.1811331888679213,31,10.532539668718744,31,10.532974388372027,31,-10.992905661210509,-10.992905661210509,0,-1350438344853.8652,1327055.3852889373,-11.17403885007843,0,999366207.1390507,-1.0000000002328306,999366206.1390507,2.446092037728982e-06,999233500.5005218,753.0698900344469,1327056.3852889375,8.626243931072732,8.626243931074294
-526611002705.21484,2728827503572.0977,1,44287.033540216646,1000,625,500,11053220525418.822,9047136965197.83,3600,10000000000000,10539,0.1810325732942708,32,10.531480762621884,32,10.53191524079779,32,-10.811873087916238,-10.811873087916238,0,-1350438344853.8652,1327055.3852889373,-10.992905661210509,0,999366207.1390507,-1.0000000002328306,999366206.1390507,2.444733286441511e-06,999233500.5005218,753.0698900344469,1327056.3852889375,8.626243931072732,8.626243931074294
-526611002705.21484,2728827503572.0977,1,44287.033540216646,1000,625,500,11053220525418.822,9047136965197.83,3600,10000000000000,10539,0.18093201361146782,33,10.530422444724483,33,10.53085668155715,33,-10.63094107430477,-10.63094107430477,0,-1350438344853.8652,1327055.3852889373,-10.811873087916238,0,999366207.1390507,-1.0000000002328306,999366206.1390507,2.4433752899254765e-06,999233500.5005218,753.0698900344469,1327056.3852889375,8.626243931072732,8.626243931074294
-526611002705.21484,2728827503572.0977,1,44287.033540216646,1000,625,500,11053220525418.822,9047136965197.83,3600,10000000000000,10539,0.18083150978620566,34,10.529364714699812,34,10.529798710323298,34,-10.450109564518565,-10.450109564518565,0,-1350438344853.8652,1327055.3852889373,-10.63094107430477,0,999366207.1390507,-1.0000000002328306,999366206.1390507,2.442018047731091e-06,999233500.5005218,753.0698900344469,1327056.3852889375,8.626243931072732,8.626243931074294
-975604494851.6895,3177820995718.5723,1,48008.97186122881,1000,625,500,11502214017565.297,8693978380795.879,3600,10000000000000,10539,0.25713499121800726,35,10.527940782409955,35,10.528557906388878,35,-10.192974573300557,-10.192974573300557,0,-1799431837000.3398,1699249.2173901536,-10.450109564518565,0,999362485.2007297,-1.0,999362484.2007297,4.626968896044861e-06,999192559.1789907,588.1196741793752,1699250.2173901536,7.9659305604354,7.965930560436784
-975604494851.6895,3177820995718.5723,1,48008.97186122881,1000,625,500,11502214017565.297,8693978380795.879,3600,10000000000000,10539,0.256992158286599,36,10.52651764108372,36,10.527134422263607,36,-9.935982415013958,-9.935982415013958,0,-1799431837000.3398,1699249.2173901536,-10.192974573300557,0,999362485.2007297,-1.0,999362484.2007297,4.624398714803358e-06,999192559.1789907,588.1196741793752,1699250.2173901536,7.9659305604354,7.965930560436784
-975604494851.6895,3177820995718.5723,1,48008.97186122881,1000,625,500,11502214017565.297,8693978380795.879,3600,10000000000000,10539,0.2568494046954288,37,10.525095290281746,37,10.525711728853015,37,-9.67913301031853,-9.67913301031853,0,-1799431837000.3398,1699249.2173901536,-9.935982415013958,0,999362485.2007297,-1.0,999362484.2007297,4.62182996123538e-06,999192559.1789907,588.1196741793752,1699250.2173901536,7.9659305604354,7.965930560436784
-1713200925410.8535,3915417426277.7363,1,53530.53540640845,1000,625,500,12239810448124.46,8170061164249.751,3600,10000000000000,10539,0.36444978648593934,38,10.52315649104704,38,10.524031170534606,38,-9.31468322383259,-9.31468322383259,0,-2537028267559.504,2251405.5719081177,-9.67913301031853,0,999356963.6371845,-1.0000000004656613,999356962.6371845,9.246194104208554e-06,999131821.9799937,443.88116082925296,2251406.571908118,7.034771900671718,7.034771900672867
-1713200925410.8535,3915417426277.7363,1,53530.53540640845,1000,625,500,12239810448124.46,8170061164249.751,3600,10000000000000,10539,0.36424734250288066,39,10.521218768773421,39,10.522092962395428,39,-8.95043588132971,-8.95043588132971,0,-2537028267559.504,2251405.5719081177,-9.31468322383259,0,999356963.6371845,-1.0000000004656613,999356962.6371845,9.24105804313235e-06,999131821.9799937,443.88116082925296,2251406.571908118,7.034771900671718,7.034771900672867
-1713200925410.8535,3915417426277.7363,1,53530.53540640845,1000,625,500,12239810448124.46,8170061164249.751,3600,10000000000000,10539,0.36404501097283176,40,10.519282122862663,40,10.520155830888998,40,-8.586390870356878,-8.586390870356878,0,-2537028267559.504,2251405.5719081177,-8.95043588132971,0,999356963.6371845,-1.0000000004656613,999356962.6371845,9.235924835020854e-06,999131821.9799937,443.88116082925296,2251406.571908118,7.034771900671718,7.034771900672867
-1713200925410.8535,3915417426277.7363,1,53530.53540640845,1000,625,500,12239810448124.46,8170061164249.751,3600,10000000000000,10539,0.3638427918351006,41,10.517346552716864,41,10.518219775417268,41,-8.222548078521777,-8.222548078521777,0,-2537028267559.504,2251405.5719081177,-8.586390870356878,0,999356963.6371845,-1.0000000004656613,999356962.6371845,9.230794478334184e-06,999131821.9799937,443.88116082925296,2251406.571908118,7.034771900671718,7.034771900672867
-1713200925410.8535,3915417426277.7363,1,53530.53540640845,1000,625,500,12239810448124.46,8170061164249.751,3600,10000000000000,10539,0.36364068502381386,42,10.515412057738466,42,10.516284795382523,42,-7.858907393497963,-7.858907393497963,0,-2537028267559.504,2251405.5719081177,-8.222548078521777,0,999356963.6371845,-1.0000000004656613,999356962.6371845,9.225666971401176e-06,999131821.9799937,443.88116082925296,2251406.571908118,7.034771900671718,7.034771900672867
-1713200925410.8535,3915417426277.7363,1,53530.53540640845,1000,625,500,12239810448124.46,8170061164249.751,3600,10000000000000,10539,0.3634386904804998,43,10.513478637330232,43,10.514350890187385,43,-7.495468703017464,-7.495468703017464,0,-2537028267559.504,2251405.5719081177,-7.858907393497963,0,999356963.6371845,-1.0000000004656613,999356962.6371845,9.220542312738372e-06,999131821.9799937,443.88116082925296,2251406.571908118,7.034771900671718,7.034771900672867
-1713200925410.8535,3915417426277.7363,1,53530.53540640845,1000,625,500,12239810448124.46,8170061164249.751,3600,10000000000000,10539,0.3632368081392852,44,10.511546290895266,44,10.5124180592348,44,-7.132231894878179,-7.132231894878179,0,-2537028267559.504,2251405.5719081177,-7.495468703017464,0,999356963.6371845,-1.0000000004656613,999356962.6371845,9.215420500674539e-06,999131821.9799937,443.88116082925296,2251406.571908118,7.034771900671718,7.034771900672867
