net_base_asset_amount,total_base_asset_amount,open_interest,total_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_mark_price_twap_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,base_spread,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value,oracle_price,mark_price,bid_price,ask_price
-9340245351943.58,9382456234228.924,2,67505.38473415028,1000,625,500,16007221377934.246,6247180421821.913,3600,10000000000000.0,10539,4.3056700798493885,135,10.24614942320672,135,10.256483031398359,135,287.88150952109515,287.88150952109515,100000.0,-6618801054794.6875,3606875.4202637873,283.57583944124576,0,1000277919.042818,-1034752.7733270251,999243166.269491,0.00028498373666105084,998779003.4501319,215.2785885886448,4641628.193590812,4.312396023500987,4.113083271050367,3.9099997845422543,4.321308111647292
-9340245351943.58,9382456234228.924,2,69805.15918318254,1000,625,500,15466956596213.342,6465396044654.464,3600,10000000000000.0,10539,4.219593613240906,136,10.2430246921612,136,10.253151716832978,136,292.1011031343361,292.1011031343361,100000.0,-6104145591967.85,3326417.0527426945,287.88150952109515,0,1000326100.1909869,-1115937.9570677895,999210162.233919,0.00025757013754160326,998765926.7329379,224.92803029637798,4442355.009810484,4.620852249993914,4.405443856440077,4.18792506602835,4.6284694516723555
-9640356625881.584,9682567508166.928,2,71038.66684453796,1000,625,500,15752115008206.172,6348353852667.043,3600,10000000000000.0,10539,4.284960117440691,137,10.23957563201107,137,10.249859536292927,137,296.38606325177676,296.38606325177676,100000.0,-6404256865905.854,3449767.818878237,292.1011031343361,0,1000324866.6833255,-1133943.464205252,999190923.2191203,0.000274419852522522,998732552.090812,217.98731672012264,4583711.283083489,4.033854037114855,4.247385269749693,4.037670622055803,4.462409149030771
-9647997733673.094,9690208615958.438,2,71069.50453607185,1000,625,500,15759378750414.453,6345427797867.357,3600,10000000000000.0,10539,4.331548512104266,138,10.236128487739338,138,10.246524204168388,138,300.71761176388105,300.71761176388105,100000.0,-6411897973697.363,3452851.588031626,296.38606325177676,0,1000324835.845634,-1134398.6146793538,999190437.2309546,0.0002777344712773333,998731712.2106836,217.8190404003801,4587250.20271098,4.033854037114855,4.243470800520315,4.033949429744626,4.458296509796657
-9760788653295.604,9802999535580.947,2,71521.34440026546,1000,625,500,15866581916413.863,6302554672884.569,3600,10000000000000.0,10539,4.383916802520223,139,10.232652362753651,139,10.2431737630797,139,305.10152856640127,305.10152856640127,100000.0,-6524688893319.873,3498035.574450986,300.71761176388105,0,1000324384.0057698,-1141142.453514025,999183241.5522559,0.0002860369327064204,998719323.7494594,215.37937012314885,4639178.027965011,3.97823436154228,4.186322173701241,3.9796225163747407,4.398254733744866
-9763627607790.51,9805838490075.854,2,71532.6403968703,1000,625,500,15869280685760.342,6301482844760.0,3600,10000000000000.0,10539,4.4294786303507765,140,10.229178168680294,140,10.239808917393136,140,309.53100719675206,309.53100719675206,100000.0,-6527527847814.779,3499165.1741114696,305.10152856640127,0,1000324372.7097733,-1141311.74618146,999183060.9635918,0.00028913545110915225,998719013.2715626,215.31904546149934,4640476.92029293,3.97823436154228,4.184898422051175,3.978269062462398,4.396758904667515
-9763698593724.926,9805909476010.27,2,71532.92279678541,1000,625,500,15869348166756.89,6301456049056.886,3600,10000000000000.0,10539,4.474846289979073,141,10.225705904446688,141,10.236445535542638,141,314.00585348673116,314.00585348673116,100000.0,-6527598833749.195,3499193.414102982,309.53100719675206,0,1000324372.4273734,-1141315.9789365986,999183056.4484369,0.0002921000142367447,998719005.5091329,215.3175377571991,4640509.39303958,3.97823436154228,4.184862831362436,3.978235229063916,4.396721512200159
-10382880772837.393,10425091655122.736,2,73905.90214281857,1000,625,500,16457398959252.697,6076294331053.93,3600,10000000000000.0,10539,4.552440069098829,142,10.222076566634247,142,10.233002422800084,142,318.55829355583,318.55829355583,100000.0,-7146781012861.662,3736491.348706297,314.00585348673116,0,1000321999.4480274,-1179037.669977089,999142961.7780503,0.0003253529224802629,998651408.876182,203.26254976431176,4915529.018683386,3.6919903815670825,3.891141371338866,3.6990162661290094,4.0881304032628965
-10398933934005.441,10441144816290.785,2,73965.22662646939,1000,625,500,16472659132757.842,6070665288103.856,3600,10000000000000.0,10539,4.595170608610773,143,10.21844924484055,143,10.229477654301215,143,323.1534641644408,323.1534641644408,100000.0,-7162834174029.711,3742423.797071379,318.55829355583,0,1000321940.1235437,-1180001.8226589202,999141938.3008848,0.00032914445070854147,998649695.7389119,202.97755933499062,4922425.619730299,3.6919903815670825,3.883935250265527,3.692165947283666,4.080559472310219
-10398933934005.441,10441144816290.785,2,77352.85928829177,1000,625,500,15644303460907.334,6392103058463.699,3600,10000000000000.0,10539,4.495878311764716,144,10.215280010423445,144,10.22607011837168,144,327.6493424762055,327.6493424762055,100000.0,-6373425106317.676,3329974.868497705,323.1534641644408,0,1000392238.1532733,-1301243.6256811917,999090994.5275922,0.0002865414370715044,998627872.6781743,215.72961754738554,4631218.494178897,4.513034875390881,4.306128061341111,4.093512988312393,4.524125794446504
